['gender','age','birth_place','death_place','cause_of_death','musical_skills']
['male','78','UK','UK','illness','guitar']
['male','75','USA','USA','organ failure','vocals']
['male','75','USA','USA','organ failure','guitar']
['male','84','USA','USA','illness','piano']
['male','84','USA','USA','illness','guitar']
['male','77','Magyarország','Magyarország','illness','piano']
['male','72','USA','USA','illness','drums']
['male','68','USA','USA','cancer','drums']
['male','90','USA','USA','natural causes','drums']
['male','90','USA','USA','natural causes','piano']
['male','83','USA','USA','stroke','vocals']
['male','83','USA','USA','stroke','guitar']
['female','69','USA','USA','heart attack','vocals']
['male','38','USA','USA','cancer','drums']
['male','70','Guinée','Guinée','illness','vocals']
['male','70','Guinée','Guinée','illness','guitar']
['male','75','UK','UK','illness','vocals']
['male','75','UK','UK','illness','guitar']
['male','75','UK','UK','illness','saxophone']
['male','66','UK','USA','heart attack','vocals']
['male','66','UK','USA','heart attack','saxophone']
['male','74','USA','USA','heart attack','vocals']
['male','60','Deutschland','Deutschland','cancer','drums']
['male','60','Deutschland','Deutschland','cancer','strings']
['male','60','Deutschland','Deutschland','cancer','piano']
['male','60','Deutschland','Deutschland','cancer','flute']
['male','78','USA','USA','natural causes','guitar']
['male','64','Cumhuriyeti','UK','illness','bass']
['male','79','Palestine','UK','cancer','vocals']
['male','79','Palestine','UK','cancer','drums']
['male','79','Palestine','UK','cancer','guitar']
['male','89','USA','USA','natural causes','piano']
['male','59','USA','USA','illness','trumpet']
['male','86','Cameroun','France','illness','vocals']
['male','86','Cameroun','France','illness','saxophone']
['male','80','USA','USA','illness','guitar']
['male','81','USA','USA','natural causes','piano']
['male','78','Africa','Africa','natural causes','vocals']
['male','71','Československo','USA','cancer','strings']
['male','71','Československo','USA','cancer','bass']
['male','64','UK','UK','illness','guitar']
['male','85','Hawaii','USA','natural causes','vocals']
['male','88','USA','USA','natural causes','trumpet']
['male','76','England','Australia','organ failure','bass']
['male','78','USA','USA','organ failure','saxophone']
['female','61','Sverige','Sverige','organ failure','vocals']
['female','61','Sverige','Sverige','organ failure','piano']
['male','71','UK','UK','illness','vocals']
['male','71','UK','UK','illness','guitar']
['male','71','USA','USA','cancer','vocals']
['male','71','USA','USA','cancer','guitar']
['male','81','USA','Japan','natural causes','guitar']
['male','74','UK','Deutschland','cancer','saxophone']
['male','80','UK','UK','natural causes','vocals']
['male','80','UK','UK','natural causes','drums']
['male','75','USA','USA','natural causes','vocals']
['male','75','USA','USA','natural causes','guitar']
['male','66','Jugoslavija/Југославија','Deutschland','cancer','vocals']
['male','66','Jugoslavija/Југославија','Deutschland','cancer','piano']
['male','72','Deutschland','Canada','illness','bass']
['male','50','USA','USA','suicide','vocals']
['male','50','USA','USA','suicide','piano']
['male','50','USA','USA','suicide','guitar']
['male','87','USA','USA','cancer','trumpet']
['male','64','USA','USA','cancer','bass']
['male','81','USA','USA','natural causes','piano']
['male','72','USA','USA','heart attack','vocals']
['male','72','USA','USA','heart attack','guitar']
['female','72','USA','USA','cancer','vocals']
['male','75','USA','USA','heart attack','vocals']
['male','75','USA','USA','heart attack','guitar']
['male','79','USA','USA','organ failure','guitar']
['male','73','UK','UK','heart attack','vocals']
['male','73','UK','UK','heart attack','piano']
['male','73','UK','UK','heart attack','guitar']
['male','62','Jamaica','Jamaica','heart attack','guitar']
['male','77','USA','USA','heart attack','vocals']
['male','77','USA','USA','heart attack','piano']
['male','77','USA','USA','heart attack','guitar']
['male','70','Deutschland','Deutschland','natural causes','guitar']
['male','81','USA','USA','organ failure','guitar']
['male','64','UK','UK','illness','vocals']
